part,motion,mass_screen_kg,com_x_mm,com_y_mm,com_z_mm,material,basis,release
ColumnDiagonalBrace_3,stationary,0.07567093882140656,32.5,59.99999999999999,192.0,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BraceFootAngle_3,stationary,0.011992391859135709,30.1328414084455,120.00000000000004,17.13020041548132,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BraceUpperBolt_Y,stationary,0.017150570519345685,3.773753993851857e-17,6.097920953527198,250.0,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
BraceUpperBolt_X,stationary,0.017150570519345664,6.097920953527196,5.352864234208248e-17,360.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
BraceUpperStandOff_Y,stationary,0.0018577509705701145,-4.518024594051511e-16,26.500000000000007,250.00000000000006,Steel spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BraceUpperStandOff_X,stationary,0.001857750970570115,26.500000000000004,-1.2588601953224679e-16,360.0,Steel spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_38,stationary,0.016006794702751088,5.915143277187117e-16,4.1676304989927916e-16,38.0,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_50,stationary,0.016006794702751088,-4.78480355706533e-16,-2.4827920971993057e-17,49.99999999999999,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_62,stationary,0.01600679470275109,3.9071307213820643e-16,5.35525833584154e-16,62.0,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_74,stationary,0.01600679470275109,-4.0078048066632565e-16,1.5284416612407651e-15,74.0,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_250,stationary,0.016006794702751074,-2.549702721256776e-16,-1.6286245002505635e-15,250.00000000000003,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_360,stationary,0.016006794702751095,6.816788828275282e-16,3.666023710758517e-16,360.0,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ColumnCrushSleeve_374,stationary,0.016006794702751095,6.816788828275282e-16,3.6660237107585807e-16,374.0,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawLowerDeck,stationary,0.8498621589577673,-44.104634339688026,-18.927888180124725,400.99999999999955,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawLowerCartridge,stationary,0.09215175953648767,-4.811396649878898e-15,6.661168159952146e-16,412.6291455602195,Nylon fit prototype / purchased metal housing after qualification,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawLowerBearing,stationary,0.15614430200669963,-3.657915565109076e-16,-1.5668429898729387e-15,413.99999999999994,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 20×47×14 mm; races, seals and clearance not modeled"
YawLowerOuterRaceCap,stationary,0.03391430326109075,4.054796521968826e-15,-2.534247826230516e-16,423.5000000000001,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawUpperDeck,stationary,0.30286507969091364,-8.918820443156677e-16,5.513452637587764e-16,493.00000000000034,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawUpperCartridge,stationary,0.09215175953648767,-4.811396649878898e-15,6.661168159952146e-16,504.6291455602196,Nylon fit prototype / purchased metal housing after qualification,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawUpperBearing,stationary,0.15614430200669963,-3.657915565109076e-16,-1.5668429898729387e-15,506.00000000000006,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 20×47×14 mm; races, seals and clearance not modeled"
YawUpperOuterRaceCap,stationary,0.03391430326109075,4.054796521968826e-15,-2.534247826230516e-16,515.5,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawCageSpacer_0,stationary,0.05325552782300996,-39.99999999999999,-64.99999999999999,446.99999999999994,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawCageSpacer_1,stationary,0.05325552782300996,-39.99999999999999,64.99999999999999,446.99999999999994,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawCageSpacer_2,stationary,0.05325552782300996,40.000000000000014,-64.99999999999999,446.99999999999994,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawCageSpacer_3,stationary,0.05325552782300996,40.000000000000014,64.99999999999999,446.99999999999994,Steel tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawKeyedShaft20,yaw,0.364815552131887,-5.478142493571187e-16,-0.40281177472081586,467.5238993840747,Steel purchased keyed shaft,solid geometry × assumed density; print mass is an upper screen,"Purchased keyway/shaft shoulders or qualified clamp collars, not hand-filed torque joint"
YawInnerRaceSpacer,yaw,0.009470016894981073,2.2617277734851675e-15,2.3307867844927185e-16,515.0000000000001,Steel inner-race spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawUpperShaftCollar,yaw,0.03728819152398797,1.0530795982364802e-15,-4.0821810187747126e-16,521.0000000000002,Purchased split shaft collar,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawFlangedHub,yaw,0.18,8.957929788696473e-16,-1.0716028158440642e-15,530.0,Purchased keyed/clamping flange hub,"explicit allowance, not supplier verified",Exact rated hub SKU and key engagement pending
YawHubPlateSpacer,yaw,0.018714668499364234,5.966158871643129e-16,-1.0169123025206159e-15,536.5,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
RotatingTurretPlate,yaw,0.3008839910691726,-1.2405333506819871e-14,-4.896842173744686e-17,539.5,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawHubM6_0,yaw,0.00694070855444421,20.000000000000004,-9.130243623859769e-17,535.3071360046049,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YawHubM6_1,yaw,0.00694070855444421,-19.999999999999996,-9.542969237407981e-17,535.3071360046049,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YawHubM6_2,yaw,0.006940708554444208,1.2858077372277015e-15,20.0,535.3071360046049,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YawHubM6_3,yaw,0.006940708554444208,1.2858077372277015e-15,-20.0,535.3071360046049,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
PitchYokeCheek_0,yaw,0.28535215507727346,4.517956906314613e-16,-80.5,732.4031913058013,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
Pitch6001_0,yaw,0.03156672298327026,-9.581252983450403e-16,-85.99999999999999,849.9999999999999,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 12×28×8 mm; races, seals and clearance not modeled"
PitchBearingCarrier_0,yaw,0.016498241982475896,-1.7227113931649798e-16,-86.0,849.9999999999997,Nylon fit carrier / qualified metal if required,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchBearingOuterCap_0,yaw,0.025542791954523508,-9.613810812690054e-17,-92.50000000000001,850.0000000000005,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YokeFootAngle_0,yaw,0.07179153301447802,-1.7102543932943211e-16,-84.2268398805755,550.7963202388488,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YokeFlangeBolt__1__1_580,yaw,0.003297319928806679,-65.00000000000001,-82.34780004674536,580.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt__1__1_780,yaw,0.003297319928806679,-65.00000000000001,-82.34780004674536,780.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt__1__1_870,yaw,0.003297319928806679,-65.00000000000001,-82.34780004674536,870.0000000000002,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeEdgeAngle__1__1,yaw,0.12189467344504065,-70.52604950620511,-85.50947254771091,711.8515967525284,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YokeFlangeBolt__1_1_580,yaw,0.0032973199288066795,65.0,-82.34780004674538,580.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt__1_1_780,yaw,0.0032973199288066795,65.0,-82.34780004674538,780.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt__1_1_870,yaw,0.0032973199288066795,65.0,-82.34780004674538,870.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeEdgeAngle__1_1,yaw,0.16271867344504062,73.27927103557063,-90.27394902910325,711.8888291982372,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchYokeCheek_2,yaw,0.28535215507727346,3.0980275929014487e-16,80.5,732.4031913058009,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
Pitch6001_2,yaw,0.03156672298327026,-9.581252983450403e-16,85.99999999999999,849.9999999999999,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 12×28×8 mm; races, seals and clearance not modeled"
PitchBearingCarrier_2,yaw,0.016498241982475896,-1.7227113931649798e-16,86.0,849.9999999999997,Nylon fit carrier / qualified metal if required,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchBearingOuterCap_2,yaw,0.025542791954523508,-9.613810812690054e-17,92.50000000000001,850.0000000000005,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YokeFootAngle_2,yaw,0.07179153301447802,-1.7102543932943211e-16,84.2268398805755,550.7963202388488,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YokeFlangeBolt_1__1_580,yaw,0.003297319928806679,-65.00000000000001,82.34780004674536,580.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt_1__1_780,yaw,0.003297319928806679,-65.00000000000001,82.34780004674536,780.0000000000002,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt_1__1_870,yaw,0.003297319928806679,-65.00000000000001,82.34780004674536,870.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeEdgeAngle_1__1,yaw,0.12189467344504065,-70.52604950620508,85.50947254771094,711.8515967525285,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YokeFlangeBolt_1_1_580,yaw,0.0032973199288066795,65.0,82.34780004674538,580.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt_1_1_780,yaw,0.0032973199288066795,65.0,82.34780004674538,780.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeFlangeBolt_1_1_870,yaw,0.0032973199288066795,65.0,82.34780004674538,870.0000000000001,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
YokeEdgeAngle_1_1,yaw,0.16271867344504062,73.27927103557063,90.27394902910324,711.8888291982369,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BoomSaddle__70_bottom,pitch,0.041469147161323876,-46.94199253286756,1.4736603015721934e-15,818.1628224992913,6061-T6 clamp or qualified nylon saddle,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BoomSaddle__70_top,pitch,0.04146914716132387,-56.42419575358235,-1.2573480314936373e-15,844.214961734885,6061-T6 clamp or qualified nylon saddle,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BoomSaddle_40_bottom,pitch,0.04146914716132388,56.42419575358236,2.8212862002400248e-15,855.7850382651148,6061-T6 clamp or qualified nylon saddle,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BoomSaddle_40_top,pitch,0.04146914716132387,46.94199253286758,-1.5534278719149988e-15,881.8371775007087,6061-T6 clamp or qualified nylon saddle,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BoomTrunnionSideRail_0,pitch,0.11133880105997979,0.053820035571637,-42.04999999999996,849.8521306675527,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
SaddleRailShoe__70_0,pitch,0.007017700264994946,-55.92909533211579,-34.7456659043427,842.8546845065432,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
SaddleRailShoe_40_0,pitch,0.007017700264994933,47.437092954334126,-34.74566590434272,880.4769002723668,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchKeyedFlangeHub_0,pitch,0.1,0.01502600063886855,-50.049999999999976,849.95871640254,Purchased keyed flanged hub,"explicit allowance, not supplier verified",Exact clamp/key/hub torque rating and shoulder stack require purchased drawings
PitchKeyedStub12_0,pitch,0.06541509318640226,0.12097406642731111,-84.52499999999999,849.6676264841514,Steel purchased keyed shaft,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchShaftKey_0,pitch,0.002260800000000001,-2.0521208599540124,-55.0,855.6381557247155,Steel4×4 key,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
BoomTrunnionSideRail_2,pitch,0.1113388010599798,0.05382003557163698,42.04999999999996,849.8521306675528,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
SaddleRailShoe__70_2,pitch,0.0070177002649949305,-55.92909533211578,34.74566590434272,842.8546845065434,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
SaddleRailShoe_40_2,pitch,0.007017700264994939,47.43709295433411,34.74566590434272,880.4769002723668,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchKeyedFlangeHub_2,pitch,0.1,0.01502600063886855,50.049999999999976,849.95871640254,Purchased keyed flanged hub,"explicit allowance, not supplier verified",Exact clamp/key/hub torque rating and shoulder stack require purchased drawings
PitchKeyedStub12_2,pitch,0.06541509318640228,0.120974066427311,84.52499999999999,849.6676264841514,Steel purchased keyed shaft,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchShaftKey_2,pitch,0.002260800000000001,-2.0521208599540124,55.0,855.6381557247155,Steel4×4 key,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchStage1Belt,yaw,0.025,-99.1819915137374,132.00000000000003,759.9999999999992,Purchased timing belt pitch path,"explicit allowance, not supplier verified",Pitch-path envelope only; complete rings deliberately overbound actual wrap
PitchStage2Belt,yaw,0.025,-44.45543547441706,109.99999999999996,819.2231600561737,Purchased timing belt pitch path,"explicit allowance, not supplier verified",Pitch-path envelope only; complete rings deliberately overbound actual wrap
PitchMotor20,yaw,0.04,-55.00000000000001,132.0,760.0,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
PitchJack40,yaw,0.12,-130.0,132.0,759.9999999999998,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
PitchJack20,yaw,0.04,-130.00000000000003,110.0,760.0000000000001,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
PitchOutput80,yaw,0.24,-3.378286466674219e-16,110.0,850.0,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
PitchMotorCandidate,yaw,1.0,-55.0,181.4897797010487,760.0,Purchased closed-loop motor candidate,"explicit allowance, not supplier verified","Supplier drawing, connector protrusions and mounting register not released"
PitchMotorSlottedPlateStudy,yaw,0.04554155226095685,-55.00000000000001,152.00000000000006,759.9999999999999,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchDriveBackplate,yaw,0.21877617554417436,-69.17922786717637,100.5,815.4134662207609,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchJackOuterSupport,yaw,0.10141760074292065,-129.93902836613407,157.0,760.0812955118212,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchJackBearing_91,yaw,0.031566722983270255,-130.00000000000003,95.0,760.0,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 12×28×8 mm; races, seals and clearance not modeled"
PitchJack_91Carrier,yaw,0.012818241982475888,-130.0,95.0,760.0,Nylon fit carrier,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchJack_91Cap,yaw,0.012344875172714114,-130.0,89.5,760.0,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchJackBearing_146,yaw,0.031566722983270255,-130.00000000000003,150.0,760.0,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 12×28×8 mm; races, seals and clearance not modeled"
PitchJack_146Carrier,yaw,0.012818241982475888,-130.0,150.0,760.0,Nylon fit carrier,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchJack_146Cap,yaw,0.012344875172714114,-130.0,144.5,760.0,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchJackshaft12,yaw,0.06747387037674009,-130.0,125.99999999999999,760.0,Purchased keyed12mm shaft,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchDriveSpacer__154_725,yaw,0.02556781254133241,-154.0,128.00000000000003,725.0,Steel spacer tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchDriveSpacer__106_725,yaw,0.02556781254133241,-106.0,128.00000000000003,725.0,Steel spacer tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchDriveSpacer__154_798,yaw,0.02556781254133241,-154.0,128.00000000000003,797.9999999999999,Steel spacer tube,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
PitchNormallyOnBrakeEnvelope,yaw,0.35,-55.0,227.5,760.0000000000001,Purchased spring-applied brake,"explicit allowance, not supplier verified",NOT installed/qualified hardware; added cost and mass gate
YawStage1Belt,stationary,0.025,-101.49234904365062,-38.27167770965623,412.0,Purchased timing belt pitch path,"explicit allowance, not supplier verified",Pitch-path envelope only; complete rings deliberately overbound actual wrap
YawStage2Belt,stationary,0.025,-38.1436818319635,-8.35903746460334e-15,448.00000000000006,Purchased timing belt pitch path,"explicit allowance, not supplier verified",Pitch-path envelope only; complete rings deliberately overbound actual wrap
YawMotor20,stationary,0.04,-85.0,-85.0,412.0,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
YawJack30,stationary,0.12,-114.99999999999999,-7.392032592613791e-16,412.0,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
YawJack20,stationary,0.04,-115.00000000000001,3.998523595922044e-16,448.00000000000006,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
YawOutput80,yaw,0.24,1.904204582643211e-15,-6.847307342282568e-16,448.00000000000006,Purchased HTD5 pulley; pitch envelope only,"explicit allowance, not supplier verified","Exact bore, hub, flange, tooth form, belt rating and supplier SKU unresolved"
YawMotorCandidate,stationary,1.0,-85.0,-85.0,370.51022029895137,Purchased closed-loop motor candidate,"explicit allowance, not supplier verified","Supplier drawing, connector protrusions and mounting register not released"
YawJackBearing_390,stationary,0.03156672298327025,-114.99999999999997,-6.005987899462231e-16,394.0,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 12×28×8 mm; races, seals and clearance not modeled"
YawJack_390Carrier,stationary,0.012818241982475888,-115.0,-3.514955604680418e-16,394.0,Nylon fit carrier,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawJack_390Cap,stationary,0.012344875172714109,-115.0,-4.344841802208555e-16,388.5,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawJackBearing_468,stationary,0.03156672298327025,-114.99999999999997,-6.005987899462231e-16,471.9999999999999,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 12×28×8 mm; races, seals and clearance not modeled"
YawJack_468Carrier,stationary,0.012818241982475888,-115.0,-3.514955604680418e-16,472.0,Nylon fit carrier,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawJack_468Cap,stationary,0.012344875172714109,-115.0,-4.344841802208555e-16,466.5,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawJackshaft12,stationary,0.08345452388702068,-115.00000000000001,2.931407506808754e-16,433.00000000000006,Purchased keyed12mm shaft,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawJackUpperSupport,stationary,0.2903759508754181,-107.3276342367252,-2.2833214513585014e-16,479.00000000000006,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawDriveSpacer__155__70,stationary,0.03540158659569095,-154.99999999999994,-69.99999999999999,439.99999999999994,Steel spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawDriveSpacer__155_70,stationary,0.03540158659569095,-154.99999999999994,69.99999999999999,439.99999999999994,Steel spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawDriveSpacer__60__70,stationary,0.03540158659569097,-59.999999999999986,-69.99999999999996,439.99999999999994,Steel spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
YawDriveSpacer__60_70,stationary,0.03540158659569097,-59.999999999999986,69.99999999999996,439.99999999999994,Steel spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ExtensionMotorCandidate,pitch,0.35,-267.22562090988595,47.57882077430976,780.1501493048036,Purchased closed-loop motor candidate,"explicit allowance, not supplier verified","Supplier drawing, connector protrusions and mounting register not released"
ExtensionMotorFacePlate,pitch,0.020792044257663348,-262.5418898064761,27.05834966136566,780.4095919133861,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ExtensionMountSpacer_0,pitch,0.0015644640541025037,-232.13274855162774,30.05,775.833113521823,Metal spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
ExtensionMountSpacer_1,pitch,0.001564464054102504,-213.3388961359095,30.05,782.6735163883363,Metal spacer,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClamp_bottom,pitch,0.021357641741353628,480.0799138071998,3.3934158052291028e-15,1009.2504205402876,Nylon qualified / PETG fit prototype,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerClamp_top,pitch,0.05298490366907054,482.1238287898143,-1.7308365674592502e-15,1055.0321822630412,Nylon qualified / PETG fit prototype,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
Idler625Bearing__1,pitch,0.007121008797983811,503.322328134559,-10.5,1060.606666831852,Purchased sealed ball bearing,solid geometry × assumed density; print mass is an upper screen,"Nominal 5×16×5 mm; races, seals and clearance not modeled"
IdlerBearingCap__1,pitch,0.004143429601861528,502.3238949970762,-7.0,1060.092162548151,6061-T6 stock,solid geometry × assumed density; print mass is an upper screen,Detailed stock geometry; fits still require coupons
IdlerCapBolt__1_530,pitch,0.0011450304705256857,487.1748179628164,-9.814499890964592,1061.1145204066822,Steel purchased screw,solid geometry × assumed density; print mass is an upper screen,Nominal clearance assembly; no printable thread
